ID;rhizotron;espece;volume sol;duree etuve;temps acces deg;duree contact deg;recouvrement deg;biomasse seche aerienne;biomasse seche racinaire;biomasse seche rhizome;biomasse seche souterraine;biomasse seche totale;root/shoot;biomasse souterraine par volume
C1;E2;Carex nigra;4,29;163h 04min;5;5;1,86;5,9;9,68;5,5;15,18;21,08;2,57;3,54
C2;E3;Carex nigra;4,16;167h 03min;5;5;1,5;8,24;9,48;4,82;14,3;22,54;1,74;3,44
C3;E7;Carex nigra;3,9;166h 55min;8;2;3,09;5,44;15,04;6;21,04;26,48;3,87;5,39
E1;E1;Eriophorum angustifolium;4,29;163h 06min;4;6;45,96;9,74;20,2;13,44;33,64;43,38;3,45;7,84
E2;E4;Eriophorum angustifolium;4,03;163h 01min;4;6;32,95;6,26;10,64;6,98;17,62;23,88;2,81;4,37
E3;E5;Eriophorum angustifolium;4,42;166h 59min;4;6;52,89;17,68;14,28;12,98;27,26;44,94;1,54;6,17
E4;E6;Eriophorum angustifolium;4,16;166h 58min;5;5;31,73;6,26;18,98;8,56;27,54;33,8;4,4;6,62
E5;E8;Eriophorum angustifolium;3,9;162h 50min;5;5;41,4;10,92;13,52;10,86;24,38;35,3;2,23;6,25
P1;P1;Phragmites australis;4,29;185h 24min;2;8;74,37;3,1;3,78;5,64;9,42;12,52;3,04;2,2
P2;P2;Phragmites australis;4,42;185h 22min;2;8;61,46;4,34;5,92;9,94;15,86;20,2;3,65;3,59
P3;P3;Phragmites australis;4,29;185h 13min;3;7;73,01;2,68;6,68;9,4;16,08;18,76;6;3,75
P4;P4;Phragmites australis;4,55;185h 11min;3;7;66,11;2,96;7,6;10,1;17,7;20,66;5,98;3,89
P5;P6;Phragmites australis;4,42;185h 18min;3;7;40,64;2,8;3,18;5,82;9;11,8;3,21;2,04
P6;P7;Phragmites australis;4,29;185h 16min;3;7;47,45;2,96;4,7;4,58;9,28;12,24;3,14;2,16
P7;P8;Phragmites australis;4,29;185h 15min;3;7;57,94;1,94;2,44;3,02;5,46;7,4;2,81;1,27
