ID;rhizotron;espece;recouvrement deg;vol sol analyse;aire analyse cm2;longueur racines cm;aire totale cm2;aire totale projetee cm2;volume total cm3;diametre moyen mm;diametre classe 0-0,5 mm (cm);diametre classe 0,5-1;diametre classe 1-1,5 mm;diametre classe 1,5-2 mm;diametre classe 2-2,5 mm;diametre classe 2,5+ mm
C1;E2;Carex nigra;1,86;0,429;807,164;2320,779;562,193;178,952;10,837;0,771;1237;749;174;75;35;48
C2;E3;Carex nigra;1,5;0,416;731,529;1988,651;479,035;152,482;9,183;0,767;1096;572;169;76;32;39
C3;E7;Carex nigra;3,09;0,39;755,755;2980,039;827,822;263,504;18,3;0,884;1468;898;278;142;72;119
E1;E1;Eriophorum angustifolium;45,96;0,429;771,933;1999,689;561,493;178,729;12,546;0,894;1006;600;192;90;42;65
E2;E4;Eriophorum angustifolium;32,95;0,403;779,746;2933,015;1555,061;494,991;65,61;1,688;800;839;398;263;174;455
E3;E5;Eriophorum angustifolium;52,89;0,442;717,087;1811,291;506,798;161,319;11,284;0,891;959;495;151;78;39;83
E4;E6;Eriophorum angustifolium;31,73;0,416;685,642;2404,444;643,699;204,896;13,713;0,852;1254;706;189;105;51;92
E5;E8;Eriophorum angustifolium;41,4;0,39;615,283;1974,202;558,532;177,786;12,575;0,901;948;604;202;100;49;65
P1;P1;Phragmites australis;74,37;0,429;753,004;1645,468;529,105;168,419;13,539;1,024;833;367;174;118;46;102
P2;P2;Phragmites australis;61,46;0,442;764,147;1725,371;542,615;172,72;13,58;1,001;831;429;183;130;50;97
P3;P3;Phragmites australis;73,01;0,429;631,409;1409,633;464,839;147,963;12,198;1,05;639;376;184;69;41;94
P4;P4;Phragmites australis;66,11;0,455;730,103;1660,951;583,223;185,646;16,297;1,118;809;382;179;108;53;123
P5;P6;Phragmites australis;40,64;0,442;713,733;1170,906;333,338;106,121;7,554;0,906;613;284;130;66;34;40
P6;P7;Phragmites australis;47,45;0,429;696,795;1267,165;456,192;145,21;13,069;1,146;508;320;180;105;54;95
P7;P8;Phragmites australis;57,94;0,429;692,197;1076,701;315,551;100,443;7,359;0,933;526;279;135;56;29;46
